,location,title,company,salary,salrange
68,"Chicago, IL",Data Scientist,Tempus,No Salary Listed,100000
69,"Chicago, IL",Data Scientist,Jobspring Partners,"$100,000 - $140,000 a year",100000
70,"Chicago, IL","Analyst - Periscope Advanced Insights - Growth Mapping, McKi...",McKinsey & Company,No Salary Listed,100000
71,"Itasca, IL",Data Scientist,Knowles,No Salary Listed,100000
72,"Chicago, IL 60654 (Loop area)",Data Scientists Lead - Visualization,"Anthem, Inc.",No Salary Listed,100000
73,"Chicago, IL",Data Scientist,Epsilon,No Salary Listed,100000
74,"Chicago, IL","AVP, Lead Data Scientist (L11)",Synchrony Financial,No Salary Listed,100000
75,"Chicago, IL",Data Scientist - Vista Intelligence Group,No Company Listed,No Salary Listed,100000
76,"Chicago, IL 60606 (Loop area)",Senior Data Scientist,Conversant Media,No Salary Listed,100000
77,"Chicago, IL",Senior Data Scientist,AllianceData,No Salary Listed,100000
78,"Chicago, IL",Senior Data Scientist,Epsilon,No Salary Listed,100000
79,"Chicago, IL 60601 (Loop area)",Data Scientist / Quantitative Analyst,S&P GLOBAL MARKET INTELLIGENCE,No Salary Listed,100000
80,"Chicago, IL 60606 (Loop area)",Data Scientist/Statistics - Applied Technology - 13307,Crowe Horwath,No Salary Listed,100000
81,"Chicago, IL","Data Scientist, Advanced Data Analytics",Jackson National Life Insurance Company,No Salary Listed,100000
82,"Chicago, IL",Quantitative Research Analyst,Huxley Associates,"$150,000 a year",100000
83,"Chicago, IL",Capital One - Data Science Manager,No Company Listed,No Salary Listed,100000
84,"Chicago, IL",Quantitative Research Analyst,Huxley Associates,"$150,000 a year",100000
85,"Chicago, IL",Big Data Manager,United Airlines,No Salary Listed,100000
86,"Chicago, IL",Regulatory Data Scientist,Chicago Mercantile Exchange Inc.,No Salary Listed,100000
87,"Chicago, IL",Contract Data Science,Jobspring Partners,$50 - $70 an hour,100000
88,"Chicago, IL",Data Science Manager,Capital One,No Salary Listed,100000
89,"Rosemont, IL",Data Scientist,American Academy of Orthopaedic Surgeons,No Salary Listed,100000
90,"Chicago, IL",Principal Data Scientist,Jobspring Partners,"$120,000 - $160,000 a year",100000
91,"Chicago, IL",Data Scientist - Predictive Modeler - P&C/Health/Life-7644,No Company Listed,"$130,000 a year",100000
92,"Chicago, IL",Senior Applied Data Scientist-Chicago,No Company Listed,No Salary Listed,100000
93,"Chicago, IL",Data Scientist II,American Family Insurance,No Salary Listed,100000
94,"Chicago, IL",Quantitative Analyst - Credit Risk,Fifth Third Bank,No Salary Listed,100000
95,"Chicago, IL 60654 (Loop area)",Senior Data Scientist,Groupon,No Salary Listed,100000
96,"Chicago, IL",Data Science Manager,Capital One,No Salary Listed,100000
97,"Chicago, IL",Scientist - Data and Statistics,United Airlines,No Salary Listed,100000
98,"Chicago, IL",Data Visualization/Front End Developer,No Company Listed,No Salary Listed,100000
99,"Chicago, IL 60604 (Loop area)",Machine Learning Data Scientist,No Company Listed,No Salary Listed,100000
100,"Chicago, IL",Director of Data Science,Capital One,No Salary Listed,100000
101,"Chicago, IL",Director - Sr Research Scientist,IRI,No Salary Listed,100000
102,"Chicago, IL",Data Quality Engineer,University of Chicago,No Salary Listed,100000
103,"Chicago, IL",Capital One - Director of Data Science,No Company Listed,No Salary Listed,100000
104,"Deerfield, IL",Data Scientist,No Company Listed,"$125,000 a year",100000
105,"Chicago, IL",No Job Title Listed,Hyatt,No Salary Listed,100000
106,"Chicago, IL",Senior Quantitative Analyst- Asset Allocation,Huxley Associates,"$185,000 a year",100000
107,"Chicago, IL",Quantitative Risk Analyst,Huxley Associates,"$100,000 a year",100000
108,"Chicago, IL",Senior Data Scientist - Natural Language Processing,No Company Listed,No Salary Listed,100000
109,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst - Quantitative Investment Manage...,William Blair & Company,No Salary Listed,100000
110,"Chicago, IL",Data Scientist,No Company Listed,No Salary Listed,100000
111,"Chicago, IL",Lead Data Scientist,ISO,No Salary Listed,100000
112,"Chicago, IL",Center for Excellence in Survey Research - Multiple Opportun...,National Opinion Research Center (NORC),No Salary Listed,100000
113,"Chicago, IL",Business Intelligence Developer,No Company Listed,No Salary Listed,100000
114,"Chicago, IL",Product Owner - McKinsey Academy,McKinsey & Company,No Salary Listed,100000
115,"Chicago, IL",Product Manager - New Ventures Technology Emerging Solutions,McKinsey & Company,No Salary Listed,100000
116,"Deerfield, IL",Research Scientist I,Baxter,No Salary Listed,100000
117,"Chicago, IL 60602 (Loop area)",Healthcare Research Scientist,No Company Listed,No Salary Listed,100000
118,"Chicago, IL 60601 (Loop area)",Big Data Manager,United Airlines Inc.,No Salary Listed,100000
119,"Oak Brook, IL",Sr Quantitative Analyst UOF - E03,Exelon,No Salary Listed,100000
120,"Chicago, IL","Principal, Machine Learning",Cars.com,No Salary Listed,100000
121,"Chicago, IL",Lead Data Architect,No Company Listed,No Salary Listed,100000
122,"Chicago, IL 60603 (Loop area)","Director, Data Sciences",The Marketing Store,No Salary Listed,100000
123,"Chicago, IL 60606 (Loop area)",Data Scientist (Architect Level),West Monroe Partners,No Salary Listed,100000
124,"Chicago, IL",Principal Data Lead (Machine Learning),Jobspring Partners,"$140,000 - $180,000 a year",100000
125,"Chicago, IL",Fixed Income Municipal Research Analyst,Northern Trust Corp.,No Salary Listed,100000
126,"Chicago, IL",Intern - NDW,Blue Cross Blue Shield Association,No Salary Listed,100000
127,"Chicago, IL",Data Scientist - R&D (Senior/Manager),No Company Listed,No Salary Listed,100000
128,"Chicago, IL",Senior Back-End Software Developer,IDEO,No Salary Listed,100000
129,"Chicago, IL 60601 (Loop area)",No Job Title Listed,General Electric,No Salary Listed,100000
130,"Chicago, IL",Lead Data Scientist,No Company Listed,"$250,000 a year",100000
131,"Chicago, IL 60606 (Loop area)",Research Analyst - Domestic Healthcare Sector,William Blair & Company,No Salary Listed,100000
132,"Chicago, IL 60602 (Loop area)",Senior Data Scientist - Finance and Analytics,Grubhub,No Salary Listed,100000
133,"Chicago, IL 60601 (Loop area)",Data Scientist / R Analytics | Fulltime,"Syntel, Inc.",No Salary Listed,100000
134,"Chicago, IL",Chief Technology Officer,No Company Listed,No Salary Listed,100000
135,"Chicago, IL 60606 (Loop area)",Research Analyst - Domestic Materials & Energy Sector,William Blair & Company,No Salary Listed,100000
136,"Chicago, IL",Data Scientist -Fitness/Wellness Firm,No Company Listed,"$120,000 a year",100000
137,"Chicago, IL 60601 (Loop area)",Data Scientist / R Analytics | Fulltime,"Syntel, Inc.",No Salary Listed,100000
138,"Chicago, IL",Technology Operations Lead - New Ventures,McKinsey & Company,No Salary Listed,100000
139,"Chicago, IL 60606 (Loop area)",Data Analysis Manager,Crowe Horwath,No Salary Listed,100000
140,"Chicago, IL",Lead Data Engineer,No Company Listed,No Salary Listed,100000
141,"Chicago, IL",Senior Data Scientist,Verisk Insurance Solutions,No Salary Listed,100000
142,"Deerfield, IL",Search Intelligence Manager (Data Scientist),Walgreens,No Salary Listed,100000
143,"Chicago, IL",Data Scientist -Fitness/Wellness Firm,No Company Listed,"$120,000 a year",100000
144,"Chicago, IL",Principal Machine Learning Engineer,Jobspring Partners,"$130,000 - $160,000 a year",100000
145,"Chicago, IL 60601 (Loop area)",Sr Staff Software Engineer,General Electric,No Salary Listed,100000
146,"Chicago, IL 60601 (Loop area)",Manager - Cognitive Data Scientist Natural Language Processi...,KPMG,No Salary Listed,100000
147,"Chicago, IL",CTO,Workbridge Associates,"$90,000 - $120,000 a year",100000
148,"Chicago, IL",Artificial Intelligence Go to Market Senior Manager,Accenture,No Salary Listed,100000
149,"Oak Park, IL 60302",Associate Director of Biostatistics,Personify,No Salary Listed,100000
150,"Chicago, IL",Health Analytics Strategy & Transformation Manager (MW),Accenture,No Salary Listed,100000
151,"Chicago, IL","Solution Manager - City Voices, McKinsey Solutions",McKinsey & Company,No Salary Listed,100000
152,"Lemont, IL",Electron and X-ray Microscopy Group Leader,Argonne National Laboratory,No Salary Listed,100000
153,"Northbrook, IL",Senior Statistical Programming Manager,Astellas Pharmaceuticals,No Salary Listed,100000
154,"Chicago, IL",Lead Designer,No Company Listed,No Salary Listed,100000
155,"Chicago, IL",Lead Designer,No Company Listed,No Salary Listed,100000
156,"Chicago, IL",Lead Data Scientist,No Company Listed,No Salary Listed,100000
157,"Northbrook, IL",No Job Title Listed,No Company Listed,"$130,000 - $135,000 a year",100000
158,"Chicago, IL 60661 (Near West Side area)",Scrum Master,TransUnion,No Salary Listed,100000
159,"Arlington Heights, IL",MN AMS Small Cells - Arlington Heights Hardware 2017 Intern...,Nokia,No Salary Listed,100000
160,"Chicago, IL",Instructional Designer - McKinsey Academy,McKinsey & Company,No Salary Listed,100000
161,"Arlington Heights, IL",MN AMS Small Cells - Arlington Heights Hardware 2017 Intern...,Nokia,No Salary Listed,100000
162,"Chicago, IL",Managing Solution Architect - Business Analytics Solution Ar...,Capgemini,No Salary Listed,100000
163,"Arlington Heights, IL",MN AMS Small Cells - Arlington Heights Hardware 2017 Intern...,Nokia,No Salary Listed,100000
164,"Chicago, IL",Lead Data Scientist,No Company Listed,No Salary Listed,100000
165,"Arlington Heights, IL",MN AMS Small Cells - Arlington Heights Hardware 2017 Intern...,Nokia,No Salary Listed,100000
166,"Chicago, IL",Strategy & Business Development Associate,No Company Listed,No Salary Listed,100000
167,"Chicago, IL",Chief Credit Officer,No Company Listed,No Salary Listed,100000
168,"Chicago, IL 60601 (Loop area)",Staff Software Engineer,General Electric,No Salary Listed,100000
169,"Arlington Heights, IL",MN AMS Small Cells - Arlington Heights Hardware 2017 Intern...,Nokia,No Salary Listed,100000
170,"Chicago, IL 60631 (Norwood Park area)",Construction Project Manager- Data Center/Mission Critical F...,HDR,No Salary Listed,100000
171,"Chicago, IL","Technical Architect - Cloud Control Tower, McKinsey Solution...",McKinsey & Company,No Salary Listed,100000
172,"Arlington Heights, IL",MN AMS Small Cells - Arlington Heights Hardware 2017 Intern...,Nokia,No Salary Listed,100000
173,"Chicago, IL 60604 (Loop area)",Software Engineer,Motorola Solutions,No Salary Listed,100000
174,"Chicago, IL","Capital One - Product Manager, Business Development & Retail...",No Company Listed,No Salary Listed,100000
175,"Chicago, IL",Senior Software Engineer,No Company Listed,No Salary Listed,100000
176,"Chicago, IL",Front End Engineer (Senior/Associate),No Company Listed,No Salary Listed,100000
177,"Chicago, IL",Insurance (Life and P&C) Analytics Senior Manager,Accenture,No Salary Listed,100000
178,"Chicago, IL",Accenture Analytics- Big Data Sales Engineer Senior Manager,Accenture,No Salary Listed,100000
179,"Chicago, IL 60654 (Loop area)",UI / UX Designer,Tempus,No Salary Listed,100000
180,"Chicago, IL 60606 (Loop area)",Program Business Manager,Nokia,No Salary Listed,100000
181,"Chicago, IL",Senior Engineer - Site Reliability,No Company Listed,No Salary Listed,100000
182,"Rolling Meadows, IL",Capital One - Digital Product Manager - Case Management Team,No Company Listed,No Salary Listed,100000
183,"Chicago, IL",Risk Analyst-Quantitative Researcher,"Open Systems Technologies, Inc.",No Salary Listed,100000
184,"Chicago, IL 60654 (Loop area)",Senior UI / UX designer,Tempus,No Salary Listed,100000
185,"Chicago, IL 60606 (Loop area)",Senior UI/UX Designer,Crowe Horwath,No Salary Listed,100000
186,"Chicago, IL 60631 (Norwood Park area)","Principal, Education | Science | Tech",HDR,No Salary Listed,100000
187,"Chicago, IL",Medical Director 38914BR,Aetna,No Salary Listed,100000
188,"Chicago, IL",Head of Machine Learning Big Data,No Company Listed,No Salary Listed,100000
189,"Chicago, IL",Sr. Solution Architect (Pre-Sales-Central Region-Mid West US...,No Company Listed,No Salary Listed,100000
190,"Chicago, IL",Security Engineer,No Company Listed,No Salary Listed,100000
191,"Chicago, IL",Accenture Analytics-Life Science Sales Lead Senior Manager,Accenture,No Salary Listed,100000
192,"Chicago, IL",Analytics Go to Market Resources Industries Lead,Accenture,No Salary Listed,100000
193,"Chicago, IL",Sr Software Engineer I - Open Location Platform - Machine Le...,HERE,No Salary Listed,100000
194,"Arlington Heights, IL",Mechanical Engineer Intern,Nokia,No Salary Listed,100000
195,"Chicago, IL 60603 (Loop area)","Junior Data Scientist (Python, Spark, SciKitLearn)",Workbridge Associates,"$100,000 a year",100000
196,"Chicago, IL",Data Engineer,No Company Listed,$50 - $70 an hour,100000
197,"Chicago, IL 60654 (Loop area)","Data Scientist (Python, Spark, AWS)",Workbridge Associates,"$110,000 a year",100000
198,"Chicago, IL","Data Scientist II (Python, R, AWS)",Workbridge Associates,"$125,000 - $165,000 a year",100000
199,"Chicago, IL","Associate Director, Account Medical Advisor- (Chicago) Illin...",Boehringer Ingelheim,No Salary Listed,100000
200,"Chicago, IL 60603 (Loop area)",Data Scientist,Workbridge Associates,No Salary Listed,100000
201,"Chicago, IL",Lead Data Scientist - iam Bank,No Company Listed,No Salary Listed,100000
202,"Chicago, IL 60603 (Loop area)","Senior Data Scientist II (Python, R, TensorFlow)",Workbridge Associates,"$170,000 a year",100000
203,"Chicago, IL",Senior Data Scientist,No Company Listed,No Salary Listed,100000
204,"Chicago, IL 60603 (Loop area)",Data Scientist - Contract,Jobspring Partners,No Salary Listed,100000
205,"Rosemont, IL",Data Scientist,No Company Listed,No Salary Listed,100000
206,"Chicago, IL",Data Scientist (Machine Learning),Workbridge Associates,"$130,000 a year",100000
207,"Chicago, IL",Senior Data Scientist,Workbridge Associates,"$160,000 a year",100000
208,"Chicago, IL 60290 (Loop area)",Principal / Senior Upstream Scientist - PNJ2015-013 -CHI,Patheon,No Salary Listed,100000
209,"Chicago, IL","Predictive Modeling, Director",Analytic Recruiting,"$115,000 - $135,000 a year",100000
210,"Chicago, IL 60603 (Loop area)",Quantitative Developer- Data Analysis Team,Akuna Capital,No Salary Listed,100000
211,"Chicago, IL 60607 (Near West Side area)",QA / Support Engineer,No Company Listed,No Salary Listed,100000
212,"Chicago, IL",Quantitative Research Analyst,No Company Listed,No Salary Listed,100000
213,"Chicago, IL",Quantitative Statistical Modeler-Automated Trading Strategie...,Analytic Recruiting,No Salary Listed,100000
214,"Chicago, IL 60654 (Loop area)",Software Engineer - Machine Learning,No Company Listed,No Salary Listed,100000
215,"Chicago, IL",Rainmaker,No Company Listed,No Salary Listed,100000
216,"Chicago, IL",Data Scientist - Natural Language Processing,No Company Listed,No Salary Listed,100000
217,"Chicago, IL",Quantitative Analyst,No Company Listed,"$100,000 a year",100000
218,"Chicago, IL 60603 (Loop area)",Senior UI Developer,Merkle Inc.,No Salary Listed,100000
219,"Chicago, IL",Data Scientist,No Company Listed,No Salary Listed,100000
220,"Chicago, IL","Director, Data Science & Data Engineering",The University of Chicago Medicine,No Salary Listed,100000
221,"Chicago, IL","Deep Learning/Neural Networking Expert (Python, TensorFlow,...",Workbridge Associates,$75 an hour,100000
222,"Chicago, IL","Data Engineer (Python, Spark, Scala, Hadoop)",Workbridge Associates,$45 - $80 an hour,100000
223,"Chicago, IL",Data Science Architect,No Company Listed,No Salary Listed,100000
224,"Chicago, IL 60603 (Loop area)",Software Scientist (Contract),Jobspring Partners,No Salary Listed,100000
225,"Chicago, IL",Lead Data Scientist (NLP),Workbridge Associates,"$135,000 a year",100000
226,"Chicago, IL",BI Developer,No Company Listed,"$100,000 a year",100000
227,"Chicago, IL 60603 (Loop area)",Principal Software Developer (Hadoop),Jobspring Partners,No Salary Listed,100000
228,"Chicago, IL 60603 (Loop area)",Lead Java Computer Scientist,Workbridge Associates,No Salary Listed,100000
229,"Chicago, IL",Manager-Quantitative Analyst,No Company Listed,"$120,000 a year",100000
230,"Chicago, IL",No Job Title Listed,No Company Listed,No Salary Listed,100000
231,"Oak Brook, IL",Medical Directors,No Company Listed,No Salary Listed,100000
232,"San Francisco, CA 94103 (South Of Market area)",Data Scientist- Financial Technology,Uber,No Salary Listed,100000
233,"San Francisco, CA",Data Scientist,No Company Listed,No Salary Listed,100000
234,"San Francisco, CA",Data Scientist,The Climate Corporation,No Salary Listed,100000
235,"San Francisco, CA 94107 (South Of Market area)","Data Scientist, Marketing Analytics",Ubisoft,No Salary Listed,100000
236,"San Francisco, CA 94108 (Financial District area)",Data Scientist,No Company Listed,No Salary Listed,100000
237,"San Francisco, CA 94103 (South Of Market area)","Data Scientist, ATG Finance",Uber,No Salary Listed,100000
238,"San Francisco, CA 94105 (Financial District area)",Data scientist - Uber Freight,Uber,No Salary Listed,100000
239,"San Francisco, CA",Data Scientist (Machine Learning),No Company Listed,No Salary Listed,100000
240,"San Francisco, CA",Senior Data Scientist,Capital One,No Salary Listed,100000
241,"San Francisco, CA",Data Scientist,No Company Listed,No Salary Listed,100000
242,"San Francisco, CA 94103 (South Of Market area)",Senior Data Scientist,OpenTable,No Salary Listed,100000
243,"San Francisco, CA",Machine Learning Engineer,No Company Listed,No Salary Listed,100000
244,"San Francisco, CA",Machine Learning Engineer,No Company Listed,No Salary Listed,100000
245,"San Francisco, CA",Senior Data Scientist,No Company Listed,No Salary Listed,100000
246,"San Francisco, CA",Machine Learning Engineer,No Company Listed,No Salary Listed,100000
247,"San Francisco, CA",Data Scientist,Thumbtack,No Salary Listed,100000
248,"San Francisco, CA 94104 (Financial District area)",Data Scientist,Supercell,No Salary Listed,100000
249,"San Francisco, CA 94102 (Downtown area)",Quantitative Research Data Scientist,Thomson Reuters,No Salary Listed,100000
250,"San Francisco, CA",Senior Data Scientist,No Company Listed,No Salary Listed,100000
251,"San Francisco, CA 94105 (Financial District area)",Accenture Analytics-Data Science Consultant,Accenture,No Salary Listed,100000
252,"San Francisco, CA 94103 (South Of Market area)",Head of Data Science,No Company Listed,No Salary Listed,100000
253,"Foster City, CA",Data Scientist,Activision,No Salary Listed,100000
254,"Redwood City, CA",Data Scientist,Shutterfly,No Salary Listed,100000
255,"San Francisco, CA 94104 (Financial District area)",Data Scientist,thredUP Inc,No Salary Listed,100000
256,"Redwood City, CA 94065",Research Data Scientist,Electronic Arts,No Salary Listed,100000
257,"Redwood City, CA 94065",Machine Learning Scientist,Electronic Arts,No Salary Listed,100000
258,"San Mateo, CA",Data Scientist,No Company Listed,No Salary Listed,100000
259,"South San Francisco, CA",Statistical Programmer Analyst,Genentech,No Salary Listed,100000
260,"South San Francisco, CA",Senior Safety Data Analyst,Genentech,No Salary Listed,100000
261,"San Francisco, CA",Machine Learning Engineer,No Company Listed,No Salary Listed,100000
262,"San Francisco, CA",Data Engineer,Prosper,No Salary Listed,100000
263,"San Francisco, CA",Data Scientist,Wish,No Salary Listed,100000
264,"San Francisco, CA",Machine Learning Research Scientist,No Company Listed,No Salary Listed,100000
265,"South San Francisco, CA 94080",Data Scientist,Counsyl,No Salary Listed,100000
266,"San Mateo, CA",Data Scientist,Change Healthcare,No Salary Listed,100000
267,"San Francisco, CA 94107 (South Of Market area)",Data Scientist,Eventbrite,No Salary Listed,100000
268,"Redwood City, CA 94065",Data Scientist,Electronic Arts,No Salary Listed,100000
269,"San Bruno, CA 94066",Modeling Analyst / Data Scientist,No Company Listed,No Salary Listed,100000
270,"San Francisco, CA",Machine Learning Engineer,Planet,No Salary Listed,100000
271,"San Francisco, CA",Senior Data Scientist,HotelTonight,No Salary Listed,100000
272,"San Francisco, CA 94103 (South Of Market area)",Data Scientist,Square,No Salary Listed,100000
273,"San Francisco, CA",Data Scientist,No Company Listed,No Salary Listed,100000
274,"San Francisco, CA",Data Scientist,GitHub,No Salary Listed,100000
275,"San Francisco, CA",Data Architect,Telmate,No Salary Listed,100000
276,"San Francisco, CA 94105 (Financial District area)",Artificial Intelligence Principal Research Scientist,Accenture,No Salary Listed,100000
277,"San Mateo, CA",Data Scientist,Ten-X,No Salary Listed,100000
278,"San Francisco, CA",Data Analyst,Twitch,No Salary Listed,100000
279,"San Francisco, CA 94105 (Financial District area)",Artificial Intelligence Principal Research Scientist,Accenture,No Salary Listed,100000
280,"San Francisco, CA",Data Architect,Telmate,No Salary Listed,100000
281,"San Francisco, CA",Data Scientist (E-Commerce),Workbridge Associates,"$130,000 - $160,000 a year",100000
282,"San Francisco, CA 94103 (South Of Market area)","Project Manager, Data",Square,No Salary Listed,100000
283,"San Francisco, CA 94102 (Downtown area)",Data Scientist (User Data),Thomson Reuters,No Salary Listed,100000
284,"Oakland, CA",Senior Data Scientist,No Company Listed,No Salary Listed,100000
285,"San Francisco, CA",Cyber Sec Research Scientist 2- Red Team Researcher/Scientis...,Wells Fargo,No Salary Listed,100000
286,"San Francisco, CA",Machine Learning Data Engineer,Capital One,No Salary Listed,100000
287,"San Francisco, CA 94126 (Financial District area)","Data Scientist, Analytics",No Company Listed,No Salary Listed,100000
288,"San Francisco, CA 94107 (South Of Market area)",Manager of Data Science,No Company Listed,No Salary Listed,100000
289,"San Francisco, CA",Senior Data Science Instructor,No Company Listed,No Salary Listed,100000
290,"San Francisco, CA",Evangelist - Data Science,Kaplan,No Salary Listed,100000
291,"San Francisco, CA",Quantitative Researcher: Field Data Quality,The Climate Corporation,No Salary Listed,100000
292,"San Francisco, CA 94105 (Financial District area)",Principal Data Scientist,Lending Club,No Salary Listed,100000
293,"South San Francisco, CA",Senior Scientist I Biostatistics,AbbVie,No Salary Listed,100000
294,"Redwood City, CA 94063",Sr. Data Scientist,YuMe,No Salary Listed,100000
295,"San Francisco, CA","Data Scientist, Platform Analytics",Gap Inc. Corporate,No Salary Listed,100000
296,"San Francisco, CA 94107 (South Of Market area)",Manager of Data Science,No Company Listed,No Salary Listed,100000
297,"San Francisco, CA 94103 (South Of Market area)",Data Scientist: Mapping Technologies,Uber,No Salary Listed,100000
298,"San Francisco, CA 94103 (South Of Market area)",Policy Data Scientist,Uber,No Salary Listed,100000
299,"San Francisco, CA 94107 (South Of Market area)",Data Analyst Intern,No Company Listed,No Salary Listed,100000
300,"San Francisco, CA",Research Data Analyst,University of California San Francisco,No Salary Listed,100000
